"EAN code";"article number";"availability";"next expected arrival"
"5998250357904";"5790";"available";""
"5998250357911";"5791";"available";""
"5998250357928";"5792";"0";""
"5998250357935";"5793";"0";""
"5998250357942";"5794";"0";""
"5998250357959";"5795";"available";""
"5998250357966";"5796";"available";""
"5998250358000";"5800";"available";"2022-02-03"
"5998250358086";"5808";"available";"2022-02-03"
"5998250358093";"5809";"available";"2022-02-03"
"5998250358109";"5810";"available";""
"5998250358277";"5827";"available";"2022-03-03"
"5998250358321";"5832";"available";""
"5998250358499";"5849";"0";""
"5998250358505";"5850";"available";""
"5998250358598";"5859";"available";""
"5998250358871";"5887";"18";""
"5998250358895";"5889";"16";"2022-02-23"
"5998250358901";"5890";"available";"2022-02-23"
"5998250358918";"5891";"available";"2022-02-23"
"5998250358925";"5892";"6";""
"5998250358932";"5893";"available";""
"5998250358956";"5895";"available";"2022-02-21"
"5998250358963";"5896";"available";"2022-08-25"
"5998250358970";"5897";"available";"2022-02-21"
"5998250359007";"5900";"0";""
"5998250359021";"5902";"available";"2022-06-20"
"5998250359038";"5903";"available";"2022-02-03"
"5998250359045";"5904";"available";"2022-02-03"
"5998250359052";"5905";"0";"2022-02-03"
"5998250359069";"5906";"2";""
"5998250359083";"5908";"0";""
"5998250359090";"5909";"0";""
"5998250359106";"5910";"0";""
"5998250359113";"5911";"available";""
"5998250359120";"5912";"available";""
"5998250359137";"5913";"0";""
"5998250359144";"5914";"available";""
"5998250359151";"5915";"0";""
"5998250359168";"5916";"0";"2022-03-16"
"5998250359175";"5917";"14";""
"5998250359182";"5918";"available";""
"5998250359199";"5919";"available";""
"5998250359212";"5921";"3";""
"5998250359229";"5922";"0";""
"5998250359243";"5924";"available";""
"5998250359281";"5928";"0";""
"5998250359298";"5929";"available";""
"5998250359304";"5930";"0";""
"5998250359328";"5932";"0";""
"5998250359335";"5933";"0";""
"5998250359342";"5934";"0";""
"5998250359359";"5935";"1";""
"5998250359366";"5936";"0";""
"5998250359380";"5938";"0";""
"5998250359397";"5939";"0";"2022-04-20"
"5998250359403";"5940";"0";"2022-04-20"
"5998250359410";"5941";"0";"2022-07-20"
"5998250359427";"5942";"0";"2022-04-20"
"5998250359434";"5943";"available";"2022-03-07"
"5998250359441";"5944";"available";"2022-05-20"
"5998250359458";"5945";"available";"2022-03-07"
"5998250359465";"5946";"available";"2022-06-20"
"5998250359472";"5947";"available";"2022-03-07"
"5998250359489";"5948";"available";""
